scenario_id,agent_code,provider_code,electronic_balance,last_update_at,freshness_state
FORECAST-001,AGENT-SYL-001,BKASH_SIM,65000.00,2026-07-11T14:00:00Z,fresh
FORECAST-001,AGENT-SYL-001,NAGAD_SIM,100000.00,2026-07-11T14:00:00Z,fresh
FORECAST-001,AGENT-SYL-001,ROCKET_SIM,65000.00,2026-07-11T14:00:00Z,fresh
NETWORK-001,AGENT-SYL-001,BKASH_SIM,30000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-001,NAGAD_SIM,20000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-001,ROCKET_SIM,25000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-002,BKASH_SIM,50000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-002,NAGAD_SIM,120000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-002,ROCKET_SIM,45000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-003,BKASH_SIM,45000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-003,NAGAD_SIM,30000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-003,ROCKET_SIM,40000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-004,BKASH_SIM,70000.00,2026-07-11T08:00:00Z,fresh
NETWORK-001,AGENT-SYL-004,NAGAD_SIM,150000.00,2026-07-11T05:00:00Z,delayed
NETWORK-001,AGENT-SYL-004,ROCKET_SIM,65000.00,2026-07-11T08:00:00Z,fresh
NORMAL-001,AGENT-SYL-001,BKASH_SIM,60000.00,2026-07-11T08:00:00Z,fresh
NORMAL-001,AGENT-SYL-001,NAGAD_SIM,62000.00,2026-07-11T08:00:00Z,fresh
NORMAL-001,AGENT-SYL-001,ROCKET_SIM,58000.00,2026-07-11T08:00:00Z,fresh
REPEATED-001,AGENT-SYL-001,BKASH_SIM,26000.00,2026-07-11T08:00:00Z,fresh
REPEATED-001,AGENT-SYL-001,NAGAD_SIM,60000.00,2026-07-11T08:00:00Z,fresh
REPEATED-001,AGENT-SYL-001,ROCKET_SIM,58000.00,2026-07-11T08:00:00Z,fresh
SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,18000.00,2026-07-11T08:00:00Z,fresh
SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,72000.00,2026-07-11T08:00:00Z,fresh
SHORTAGE-001,AGENT-SYL-001,ROCKET_SIM,68000.00,2026-07-11T08:00:00Z,fresh
STALE-001,AGENT-SYL-001,BKASH_SIM,60000.00,2026-07-11T08:00:00Z,fresh
STALE-001,AGENT-SYL-001,NAGAD_SIM,62000.00,2026-07-11T08:00:00Z,fresh
STALE-001,AGENT-SYL-001,ROCKET_SIM,58000.00,2026-07-11T06:00:00Z,delayed
