external_id,scenario_id,agent_code,provider_code,synthetic_customer_id,transaction_type,amount,occurred_at,status,anomaly_expected,anomaly_category,injection_start_time
TXN-000001,NORMAL-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0001,cash_in,500.00,2026-07-11T08:00:00Z,completed,false,,
TXN-000002,NORMAL-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0002,cash_out,1000.00,2026-07-11T08:15:00Z,completed,false,,
TXN-000003,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0003,cash_in,3000.00,2026-07-11T08:30:00Z,completed,false,,
TXN-000004,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0004,cash_in,2500.00,2026-07-11T08:45:00Z,completed,false,,
TXN-000005,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0005,cash_in,500.00,2026-07-11T09:00:00Z,completed,false,,
TXN-000006,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0006,cash_in,1000.00,2026-07-11T09:15:00Z,completed,false,,
TXN-000007,NORMAL-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0007,cash_in,2500.00,2026-07-11T09:30:00Z,completed,false,,
TXN-000008,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0008,cash_out,1000.00,2026-07-11T09:45:00Z,completed,false,,
TXN-000009,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0009,cash_out,4000.00,2026-07-11T10:00:00Z,completed,false,,
TXN-000010,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0010,cash_in,3000.00,2026-07-11T10:15:00Z,completed,false,,
TXN-000011,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0011,cash_out,1500.00,2026-07-11T10:30:00Z,completed,false,,
TXN-000012,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0012,cash_in,4000.00,2026-07-11T10:45:00Z,completed,false,,
TXN-000013,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0013,cash_in,500.00,2026-07-11T11:00:00Z,completed,false,,
TXN-000014,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0014,cash_in,1500.00,2026-07-11T11:15:00Z,completed,false,,
